#Initial States of Connected Instruments
#_______________
#Type = Voltmeter 181
#Resource Address = GPIB0::9
#ID = NONE
#Initial Voltage = 0.000050 V
#_______________
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+07 Hz
#Range = (1.00e+09, 1.90e+10) Hz
#Sweep Count = 1
#Sweep Points = 2001
#Amplitude Unit = W
#
#_______________
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.1
#Sensitivity = 500 uV/pA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#Type = Gaussmeter 455
#Resource Address = GPIB0::12
#ID = LSCI,MODEL455,4550271,06062006
#Initial Field = 0.006480 T
#_______________
#Type = AN 68369A
#Resource Address = GPIB0::21
#ID = ANRITSU,68367C,030310,2.31
#
#_______________
#Indicies of Loops
#__Loop 1__
#
#__Loop 2__
#
#__Loop 3__
#(0, -6994)
#_______________
#__SWEEP 1__
#
#Name = SpecAnalyzer
#Class Type = GASPSD
#Instrument = FSP38
#Address = GPIB0::20
#Delay = 0.0 seconds
#Comment= First instance of the Spectrum Analyzer. And I just added a comment.
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+07 Hz
#Range = (1.00e+09, 1.90e+10) Hz
#Sweep Count = 1
#Sweep Points = 2001
#Amplitude Unit = W
#Datapoints = 1001 StepSize = 2000000.000000 GHz
#_______________
#__SWEEP 2__
#
#Name = setField
#Class Type = setBField
#Instrument = Lock-in Amplifier
#Address = GPIB0::24
#Measurement Type = AuxOut
#Port = 4
#Delay = 0.0 seconds
#Delay 2 = 1.0 seconds
#Calibration Factor = 0.061425 T/V
#Comment= Set the magnetic field.
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.1
#Sensitivity = 500 uV/pA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#Datapoints = 10 StepSize = 0.100000 T
#_______________
#
SpecAnalyzer (GHz)	setField (T)	 SpecAnalyzerOut (Hz)

1.200000000e+10	-2.000000000e-01	3.685279859e-11
1.200200000e+10	-2.000000000e-01	3.892116490e-11
1.200400000e+10	-2.000000000e-01	3.671295906e-11
1.200600000e+10	-2.000000000e-01	3.869900234e-11
1.200800000e+10	-2.000000000e-01	3.764710765e-11
1.201000000e+10	-2.000000000e-01	3.749298441e-11
1.201200000e+10	-2.000000000e-01	4.050061675e-11
1.201400000e+10	-2.000000000e-01	3.904291820e-11
1.201600000e+10	-2.000000000e-01	4.360183742e-11
1.201800000e+10	-2.000000000e-01	4.067909898e-11
1.202000000e+10	-2.000000000e-01	3.949681554e-11
1.202200000e+10	-2.000000000e-01	3.920606548e-11
1.202400000e+10	-2.000000000e-01	3.967166873e-11
1.202600000e+10	-2.000000000e-01	3.848132576e-11
1.202800000e+10	-2.000000000e-01	4.447145083e-11
1.203000000e+10	-2.000000000e-01	4.292355013e-11
1.203200000e+10	-2.000000000e-01	4.193530592e-11
1.203400000e+10	-2.000000000e-01	4.218657715e-11
1.203600000e+10	-2.000000000e-01	4.553825372e-11
1.203800000e+10	-2.000000000e-01	4.512542423e-11
1.204000000e+10	-2.000000000e-01	4.416179228e-11
1.204200000e+10	-2.000000000e-01	4.353651120e-11
1.204400000e+10	-2.000000000e-01	4.735528983e-11
1.204600000e+10	-2.000000000e-01	4.387893521e-11
1.204800000e+10	-2.000000000e-01	4.609989820e-11
1.205000000e+10	-2.000000000e-01	4.707399401e-11
1.205200000e+10	-2.000000000e-01	4.507440601e-11
1.205400000e+10	-2.000000000e-01	4.253065955e-11
1.205600000e+10	-2.000000000e-01	4.489726646e-11
1.205800000e+10	-2.000000000e-01	4.359384034e-11
1.206000000e+10	-2.000000000e-01	4.724565530e-11
1.206200000e+10	-2.000000000e-01	4.253510044e-11
1.206400000e+10	-2.000000000e-01	4.391089922e-11
1.206600000e+10	-2.000000000e-01	4.651890678e-11
1.206800000e+10	-2.000000000e-01	4.466808173e-11
1.207000000e+10	-2.000000000e-01	4.171699097e-11
1.207200000e+10	-2.000000000e-01	4.863591127e-11
1.207400000e+10	-2.000000000e-01	4.661694641e-11
1.207600000e+10	-2.000000000e-01	4.478429780e-11
1.207800000e+10	-2.000000000e-01	4.727995773e-11
1.208000000e+10	-2.000000000e-01	4.313159205e-11
1.208200000e+10	-2.000000000e-01	4.297545653e-11
1.208400000e+10	-2.000000000e-01	4.543450685e-11
