#Initial States of Connected Instruments
#_______________
#Type = Voltmeter 181
#Resource Address = GPIB0::9
#ID = NONE
#Initial Voltage = 0.000047 V
#_______________
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.20e+10, 1.40e+10) Hz
#Sweep Count = 6
#Sweep Points = 1001
#Amplitude Unit = W
#
#_______________
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.1
#Sensitivity = 500 uV/pA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#Type = Gaussmeter 455
#Resource Address = GPIB0::12
#ID = LSCI,MODEL455,4550271,06062006
#Initial Field = 0.001940 T
#_______________
#Type = AN 68369A
#Resource Address = GPIB0::21
#ID = ANRITSU,68367C,030310,2.31
#
#_______________
#Indicies of Loops
#__Loop 1__
#
#__Loop 2__
#
#__Loop 3__
#(0, -6994)
#_______________
#__SWEEP 1__
#
#Name = SpecAnalyzer
#Class Type = GASPSD
#Instrument Type = FSP38 Address = GPIB0::20
#Delay = 0.0 seconds
#Comment=  
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.20e+10, 1.40e+10) Hz
#Sweep Count = 6
#Sweep Points = 1001
#Amplitude Unit = W
#Datapoints = 1001 StepSize = 2000000.000000 GHz
#_______________
#__SWEEP 2__
#
#Name = SetField
#Class Type = setBField
#Instrument Type = Lock-in Amplifier Address = GPIB0::24
#Measurement Type = AuxOut  Port = 4
#Delay = 0.0 seconds
#Delay 2 = 1.0 seconds
#Calibration Factor = 0.059256 T/V
#Comment=   None
#
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.1
#Sensitivity = 500 uV/pA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#Datapoints = 10 StepSize = 0.100000 T
#_______________
#
SpecAnalyzer (GHz)	SetField (T)	 SpecAnalyzerOut (Hz)

1.200000000e+10	-2.000000000e-01	3.481397245e-12
1.200200000e+10	-2.000000000e-01	3.430769774e-12
1.200400000e+10	-2.000000000e-01	3.657890397e-12
1.200600000e+10	-2.000000000e-01	3.473082282e-12
1.200800000e+10	-2.000000000e-01	3.655562832e-12
1.201000000e+10	-2.000000000e-01	3.788216268e-12
1.201200000e+10	-2.000000000e-01	3.795663870e-12
1.201400000e+10	-2.000000000e-01	3.809922863e-12
1.201600000e+10	-2.000000000e-01	3.984192316e-12
1.201800000e+10	-2.000000000e-01	3.916523789e-12
1.202000000e+10	-2.000000000e-01	3.898917213e-12
1.202200000e+10	-2.000000000e-01	4.157236187e-12
1.202400000e+10	-2.000000000e-01	4.269221695e-12
1.202600000e+10	-2.000000000e-01	4.246849834e-12
1.202800000e+10	-2.000000000e-01	4.072492343e-12
1.203000000e+10	-2.000000000e-01	4.476486890e-12
1.203200000e+10	-2.000000000e-01	4.243805828e-12
1.203400000e+10	-2.000000000e-01	4.324758867e-12
1.203600000e+10	-2.000000000e-01	4.342878054e-12
1.203800000e+10	-2.000000000e-01	4.500382705e-12
1.204000000e+10	-2.000000000e-01	4.452372932e-12
1.204200000e+10	-2.000000000e-01	4.492786785e-12
1.204400000e+10	-2.000000000e-01	4.634194938e-12
1.204600000e+10	-2.000000000e-01	4.785804999e-12
1.204800000e+10	-2.000000000e-01	4.581993205e-12
1.205000000e+10	-2.000000000e-01	4.624168236e-12
1.205200000e+10	-2.000000000e-01	4.863684542e-12
1.205400000e+10	-2.000000000e-01	4.845102184e-12
1.205600000e+10	-2.000000000e-01	4.765974074e-12
1.205800000e+10	-2.000000000e-01	4.986989554e-12
1.206000000e+10	-2.000000000e-01	4.800327670e-12
1.206200000e+10	-2.000000000e-01	4.897663872e-12
1.206400000e+10	-2.000000000e-01	5.125984272e-12
1.206600000e+10	-2.000000000e-01	5.029525841e-12
1.206800000e+10	-2.000000000e-01	5.064308781e-12
1.207000000e+10	-2.000000000e-01	4.932334922e-12
1.207200000e+10	-2.000000000e-01	5.144463414e-12
1.207400000e+10	-2.000000000e-01	4.979321209e-12
1.207600000e+10	-2.000000000e-01	5.026874750e-12
1.207800000e+10	-2.000000000e-01	4.561954547e-12
1.208000000e+10	-2.000000000e-01	4.697692322e-12
1.208200000e+10	-2.000000000e-01	4.705241405e-12
1.208400000e+10	-2.000000000e-01	4.479014815e-12
1.208600000e+10	-2.000000000e-01	4.700136981e-12
1.208800000e+10	-2.000000000e-01	4.663257627e-12
1.209000000e+10	-2.000000000e-01	4.580431087e-12
1.209200000e+10	-2.000000000e-01	4.511893897e-12
1.209400000e+10	-2.000000000e-01	4.397174031e-12
1.209600000e+10	-2.000000000e-01	4.368240578e-12
1.209800000e+10	-2.000000000e-01	4.410700971e-12
1.210000000e+10	-2.000000000e-01	4.385707509e-12
1.210200000e+10	-2.000000000e-01	4.330854252e-12
1.210400000e+10	-2.000000000e-01	4.206159292e-12
1.210600000e+10	-2.000000000e-01	4.293328280e-12
1.210800000e+10	-2.000000000e-01	4.154671832e-12
1.211000000e+10	-2.000000000e-01	4.040220415e-12
1.211200000e+10	-2.000000000e-01	3.865685116e-12
1.211400000e+10	-2.000000000e-01	3.828950178e-12
1.211600000e+10	-2.000000000e-01	3.990359258e-12
1.211800000e+10	-2.000000000e-01	3.830810669e-12
1.212000000e+10	-2.000000000e-01	3.718348112e-12
1.212200000e+10	-2.000000000e-01	3.685271706e-12
1.212400000e+10	-2.000000000e-01	3.694398953e-12
1.212600000e+10	-2.000000000e-01	3.611066307e-12
1.212800000e+10	-2.000000000e-01	3.790138342e-12
1.213000000e+10	-2.000000000e-01	3.770834773e-12
1.213200000e+10	-2.000000000e-01	3.490912203e-12
1.213400000e+10	-2.000000000e-01	3.328313536e-12
1.213600000e+10	-2.000000000e-01	3.444349840e-12
1.213800000e+10	-2.000000000e-01	3.520904054e-12
1.214000000e+10	-2.000000000e-01	3.291919255e-12
1.214200000e+10	-2.000000000e-01	3.350926524e-12
1.214400000e+10	-2.000000000e-01	3.393921862e-12
1.214600000e+10	-2.000000000e-01	3.258972302e-12
1.214800000e+10	-2.000000000e-01	3.305231956e-12
1.215000000e+10	-2.000000000e-01	3.583541883e-12
1.215200000e+10	-2.000000000e-01	3.605900734e-12
1.215400000e+10	-2.000000000e-01	3.345601357e-12
1.215600000e+10	-2.000000000e-01	3.503758915e-12
1.215800000e+10	-2.000000000e-01	3.403517268e-12
1.216000000e+10	-2.000000000e-01	3.498563852e-12
1.216200000e+10	-2.000000000e-01	3.331598018e-12
1.216400000e+10	-2.000000000e-01	3.505960279e-12
1.216600000e+10	-2.000000000e-01	3.532078493e-12
1.216800000e+10	-2.000000000e-01	3.609619114e-12
1.217000000e+10	-2.000000000e-01	3.744242763e-12
1.217200000e+10	-2.000000000e-01	3.717969509e-12
1.217400000e+10	-2.000000000e-01	3.627590199e-12
1.217600000e+10	-2.000000000e-01	3.854812303e-12
1.217800000e+10	-2.000000000e-01	3.889177608e-12
1.218000000e+10	-2.000000000e-01	3.942132645e-12
1.218200000e+10	-2.000000000e-01	4.272538920e-12
1.218400000e+10	-2.000000000e-01	4.126105707e-12
1.218600000e+10	-2.000000000e-01	4.094783540e-12
1.218800000e+10	-2.000000000e-01	4.136870100e-12
1.219000000e+10	-2.000000000e-01	3.940730121e-12
1.219200000e+10	-2.000000000e-01	4.396602440e-12
1.219400000e+10	-2.000000000e-01	4.018879413e-12
1.219600000e+10	-2.000000000e-01	4.103348304e-12
1.219800000e+10	-2.000000000e-01	4.015676680e-12
1.220000000e+10	-2.000000000e-01	4.264308524e-12
1.220200000e+10	-2.000000000e-01	4.263337079e-12
1.220400000e+10	-2.000000000e-01	4.148746451e-12
1.220600000e+10	-2.000000000e-01	3.998460417e-12
1.220800000e+10	-2.000000000e-01	4.218240340e-12
1.221000000e+10	-2.000000000e-01	4.048837654e-12
1.221200000e+10	-2.000000000e-01	4.017808222e-12
1.221400000e+10	-2.000000000e-01	3.862378299e-12
1.221600000e+10	-2.000000000e-01	3.852243611e-12
1.221800000e+10	-2.000000000e-01	3.898530804e-12
1.222000000e+10	-2.000000000e-01	3.822504379e-12
1.222200000e+10	-2.000000000e-01	3.921424383e-12
1.222400000e+10	-2.000000000e-01	3.795513383e-12
1.222600000e+10	-2.000000000e-01	3.848611534e-12
1.222800000e+10	-2.000000000e-01	3.716831964e-12
1.223000000e+10	-2.000000000e-01	3.860982280e-12
1.223200000e+10	-2.000000000e-01	3.895847620e-12
1.223400000e+10	-2.000000000e-01	3.948922786e-12
1.223600000e+10	-2.000000000e-01	3.785572550e-12
1.223800000e+10	-2.000000000e-01	3.789737187e-12
1.224000000e+10	-2.000000000e-01	3.810271976e-12
1.224200000e+10	-2.000000000e-01	3.770999138e-12
