#Initial States of Connected Instruments
#_______________
#Type = Voltmeter 181
#Resource Address = GPIB0::9
#ID = NONE
#Initial Voltage = 0.000050 V
#_______________
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.3
#Sensitivity = 2 mV/nA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#Type = Gaussmeter 455
#Resource Address = GPIB0::12
#ID = LSCI,MODEL455,4550271,06062006
#Initial Field = 0.003940 T
#_______________
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.10e+10, 1.10e+10) Hz
#Sweep Count = 15
#Sweep Points = 125
#Amplitude Unit = W
#
#_______________
#Indicies of Loops
#__Loop 1__
#(0, 125)(126, 251)(252, 377)(378, 503)(504, 629)(630, 755)(756, 881)(882, 1007)(1008, 1133)(1134, 1259)
#(1260, 1385)(1386, 1511)(1512, 1637)(1638, 1763)(1764, 1889)(1890, 2015)(2016, 2141)(2142, 2267)(2268, 2393)(2394, 2519)
#(2520, 2645)(2646, 2771)(2772, 2897)(2898, 3023)(3024, 3149)(3150, 3275)(3276, 3401)(3402, 3527)(3528, 3653)
#__Loop 2__
#(0, 3653)
#__Loop 3__
#(0, 3653)
#_______________
#__SWEEP 1__
#
#Name = SpecAnalyzer
#Class Type = GASPSD
#Instrument Type = FSP38 Address = GPIB0::20
#Delay = 0.0 seconds
#Comment=  First instance of the S
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.10e+10, 1.10e+10) Hz
#Sweep Count = 15
#Sweep Points = 125
#Amplitude Unit = W
#
#_______________
#__SWEEP 2__
#
#Name = SetField
#Class Type = setBField
#Instrument Type = Lock-in Amplifier Address = GPIB0::24
#Measurement Type = AuxOut  Port = 4
#Delay = 0.0 seconds
#Delay 2 = 1 seconds
#Calibration Factor = -0.059737 T/V
#Comment=     None
#
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.3
#Sensitivity = 2 mV/nA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#
#
SpecAnalyzer (GHz)	SetField (T)	None	 Sweep 1 (W)
1.095000000e+10	-6.379900000e-01	0.000000000e+00	3.107859673e-12
1.095080645e+10	-6.379900000e-01	0.000000000e+00	3.013255444e-12
1.095161290e+10	-6.379900000e-01	0.000000000e+00	3.037282665e-12
1.095241935e+10	-6.379900000e-01	0.000000000e+00	3.039567079e-12
1.095322581e+10	-6.379900000e-01	0.000000000e+00	3.024243616e-12
1.095403226e+10	-6.379900000e-01	0.000000000e+00	3.033805629e-12
1.095483871e+10	-6.379900000e-01	0.000000000e+00	3.061705620e-12
1.095564516e+10	-6.379900000e-01	0.000000000e+00	3.058824027e-12
1.095645161e+10	-6.379900000e-01	0.000000000e+00	3.088082307e-12
1.095725806e+10	-6.379900000e-01	0.000000000e+00	3.095023153e-12
1.095806452e+10	-6.379900000e-01	0.000000000e+00	3.106129286e-12
1.095887097e+10	-6.379900000e-01	0.000000000e+00	3.135421393e-12
1.095967742e+10	-6.379900000e-01	0.000000000e+00	3.154809096e-12
1.096048387e+10	-6.379900000e-01	0.000000000e+00	3.151230795e-12
1.096129032e+10	-6.379900000e-01	0.000000000e+00	3.155363340e-12
1.096209677e+10	-6.379900000e-01	0.000000000e+00	3.191555310e-12
1.096290323e+10	-6.379900000e-01	0.000000000e+00	3.167270266e-12
1.096370968e+10	-6.379900000e-01	0.000000000e+00	3.193232137e-12
1.096451613e+10	-6.379900000e-01	0.000000000e+00	3.165579127e-12
1.096532258e+10	-6.379900000e-01	0.000000000e+00	3.226421951e-12
1.096612903e+10	-6.379900000e-01	0.000000000e+00	3.224557774e-12
1.096693548e+10	-6.379900000e-01	0.000000000e+00	3.296259533e-12
1.096774194e+10	-6.379900000e-01	0.000000000e+00	3.309767824e-12
1.096854839e+10	-6.379900000e-01	0.000000000e+00	3.312460766e-12
1.096935484e+10	-6.379900000e-01	0.000000000e+00	3.288214536e-12
1.097016129e+10	-6.379900000e-01	0.000000000e+00	3.247541559e-12
1.097096774e+10	-6.379900000e-01	0.000000000e+00	3.354866081e-12
1.097177419e+10	-6.379900000e-01	0.000000000e+00	3.380708474e-12
1.097258065e+10	-6.379900000e-01	0.000000000e+00	3.385891177e-12
1.097338710e+10	-6.379900000e-01	0.000000000e+00	3.439517334e-12
1.097419355e+10	-6.379900000e-01	0.000000000e+00	3.430248707e-12
1.097500000e+10	-6.379900000e-01	0.000000000e+00	3.421143577e-12
1.097580645e+10	-6.379900000e-01	0.000000000e+00	3.470575173e-12
1.097661290e+10	-6.379900000e-01	0.000000000e+00	3.518056289e-12
1.097741935e+10	-6.379900000e-01	0.000000000e+00	3.518544614e-12
