#Initial States of Connected Instruments
#_______________
#Type = Voltmeter 181
#Resource Address = GPIB0::9
#ID = NONE
#Initial Voltage = 0.000047 V
#_______________
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.3
#Sensitivity = 2 mV/nA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#Type = Gaussmeter 455
#Resource Address = GPIB0::12
#ID = LSCI,MODEL455,4550271,06062006
#Initial Field = -0.000380 T
#_______________
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.10e+10, 1.11e+10) Hz
#Sweep Count = 15
#Sweep Points = 125
#Amplitude Unit = W
#
#_______________
#Indicies of Loops
#__Loop 1__
#(0, 124)(125, 249)(250, 374)(375, 499)(500, 624)(625, 749)(750, 874)(875, 999)(1000, 1124)(1125, 1249)
#(1250, 1374)(1375, 1499)(1500, 1624)(1625, 1749)(1750, 1874)(1875, 1999)(2000, 2124)(2125, 2249)(2250, 2374)(2375, 2499)
#(2500, 2624)(2625, 2749)(2750, 2874)(2875, 2999)(3000, 3124)(3125, 3249)(3250, 3374)(3375, 3499)(3500, 3624)
#__Loop 2__
#(0, 3624)
#__Loop 3__
#(0, 3624)
#_______________
#__SWEEP 1__
#
#Name = SpecAnalyzer
#Class Type = GASPSD
#Instrument Type = FSP38 Address = GPIB0::20
#Delay = 0.0 seconds
#Comment=  First instance of the S
#Type = FSP38
#Resource Address = GPIB0::20
#ID = Rohde&Schwarz,FSP-38,100037/038,3.50
#Reference Level = 0.00 W
#RES Bandwidth = 1.00e+06 Hz
#Range = (1.10e+10, 1.11e+10) Hz
#Sweep Count = 15
#Sweep Points = 125
#Amplitude Unit = W
#
#_______________
#__SWEEP 2__
#
#Name = SetField
#Class Type = setBField
#Instrument Type = Lock-in Amplifier Address = GPIB0::24
#Measurement Type = AuxOut  Port = 4
#Delay = 0.0 seconds
#Delay 2 = 1 seconds
#Calibration Factor = -0.059737 T/V
#Comment=     None
#
#Type = Lock-in Amplifier
#Resource Address = GPIB0::24
#ID = Stanford_Research_Systems,SR830,s/n83855,ver1.07 
#Time Constant = 0.3
#Sensitivity = 2 mV/nA
#Reference Frequency = 408.200000 Hz
#Sine Amplitude = 1.000000 V
#Reference Source = Internal
#Filter Status = Both
#
#_______________
#
#
SpecAnalyzer (GHz)	SetField (T)	None	 Sweep 1 (W)
1.095000000e+10	-6.209200000e-01	0.000000000e+00	-6.336078000e-15
1.095100000e+10	-6.209200000e-01	0.000000000e+00	-5.669510000e-14
1.095200000e+10	-6.209200000e-01	0.000000000e+00	-4.014583000e-15
1.095300000e+10	-6.209200000e-01	0.000000000e+00	-1.090664000e-14
1.095400000e+10	-6.209200000e-01	0.000000000e+00	-4.999516400e-14
1.095500000e+10	-6.209200000e-01	0.000000000e+00	1.674528500e-14
1.095600000e+10	-6.209200000e-01	0.000000000e+00	2.441298000e-14
1.095700000e+10	-6.209200000e-01	0.000000000e+00	1.793725700e-14
1.095800000e+10	-6.209200000e-01	0.000000000e+00	2.332553000e-15
1.095900000e+10	-6.209200000e-01	0.000000000e+00	5.338611500e-14
1.096000000e+10	-6.209200000e-01	0.000000000e+00	-3.440715600e-14
1.096100000e+10	-6.209200000e-01	0.000000000e+00	1.386087400e-14
1.096200000e+10	-6.209200000e-01	0.000000000e+00	-1.760527500e-14
1.096300000e+10	-6.209200000e-01	0.000000000e+00	-3.919542600e-14
1.096400000e+10	-6.209200000e-01	0.000000000e+00	-6.066523100e-14
1.096500000e+10	-6.209200000e-01	0.000000000e+00	-4.764504800e-14
1.096600000e+10	-6.209200000e-01	0.000000000e+00	-2.803313200e-14
1.096700000e+10	-6.209200000e-01	0.000000000e+00	-3.408514800e-14
1.096800000e+10	-6.209200000e-01	0.000000000e+00	-2.771762900e-14
1.096900000e+10	-6.209200000e-01	0.000000000e+00	3.487011000e-15
1.097000000e+10	-6.209200000e-01	0.000000000e+00	6.207491100e-14
1.097100000e+10	-6.209200000e-01	0.000000000e+00	3.263036500e-14
1.097200000e+10	-6.209200000e-01	0.000000000e+00	6.518353600e-14
1.097300000e+10	-6.209200000e-01	0.000000000e+00	-4.143191900e-14
1.097400000e+10	-6.209200000e-01	0.000000000e+00	-1.181780000e-15
1.097500000e+10	-6.209200000e-01	0.000000000e+00	-1.767509800e-14
1.097600000e+10	-6.209200000e-01	0.000000000e+00	2.000656600e-14
1.097700000e+10	-6.209200000e-01	0.000000000e+00	-2.866001700e-14
1.097800000e+10	-6.209200000e-01	0.000000000e+00	8.427069000e-15
1.097900000e+10	-6.209200000e-01	0.000000000e+00	3.967313000e-15
1.098000000e+10	-6.209200000e-01	0.000000000e+00	8.029818000e-15
1.098100000e+10	-6.209200000e-01	0.000000000e+00	-5.672112000e-15
1.098200000e+10	-6.209200000e-01	0.000000000e+00	4.220148000e-15
1.098300000e+10	-6.209200000e-01	0.000000000e+00	-2.259434000e-14
1.098400000e+10	-6.209200000e-01	0.000000000e+00	-2.766970600e-14
1.098500000e+10	-6.209200000e-01	0.000000000e+00	5.070553400e-14
1.098600000e+10	-6.209200000e-01	0.000000000e+00	-2.441189600e-14
1.098700000e+10	-6.209200000e-01	0.000000000e+00	3.884522900e-14
1.098800000e+10	-6.209200000e-01	0.000000000e+00	-8.066897000e-15
1.098900000e+10	-6.209200000e-01	0.000000000e+00	-1.216951900e-14
1.099000000e+10	-6.209200000e-01	0.000000000e+00	-4.709167100e-14
1.099100000e+10	-6.209200000e-01	0.000000000e+00	5.952920400e-14
1.099200000e+10	-6.209200000e-01	0.000000000e+00	1.831260800e-14
1.099300000e+10	-6.209200000e-01	0.000000000e+00	3.456436000e-15
1.099400000e+10	-6.209200000e-01	0.000000000e+00	5.163274300e-14
1.099500000e+10	-6.209200000e-01	0.000000000e+00	-9.606681700e-14
1.099600000e+10	-6.209200000e-01	0.000000000e+00	6.861698000e-15
1.099700000e+10	-6.209200000e-01	0.000000000e+00	-5.921565300e-14
1.099800000e+10	-6.209200000e-01	0.000000000e+00	-4.190658200e-14
1.099900000e+10	-6.209200000e-01	0.000000000e+00	8.397336640e-13
1.100000000e+10	-6.209200000e-01	0.000000000e+00	3.420328256e-12
1.100100000e+10	-6.209200000e-01	0.000000000e+00	5.223638360e-13
1.100200000e+10	-6.209200000e-01	0.000000000e+00	5.487798000e-15
1.100300000e+10	-6.209200000e-01	0.000000000e+00	-4.108605800e-14
1.100400000e+10	-6.209200000e-01	0.000000000e+00	-3.414326100e-14
1.100500000e+10	-6.209200000e-01	0.000000000e+00	-5.855038700e-14
1.100600000e+10	-6.209200000e-01	0.000000000e+00	4.975880800e-14
